round,loss,accuracy,num_clients
1,89.75765991210938,0.11349999904632568,2
2,11.916181564331055,0.27390000224113464,2
3,3.650273323059082,0.4950000047683716,2
4,2.729673147201538,0.5748999714851379,2
5,1.3438833951950073,0.708299994468689,2
6,1.5540388822555542,0.6481999754905701,2
7,1.2693527936935425,0.7214999794960022,2
8,0.8901676535606384,0.7876999974250793,2
9,0.8084668517112732,0.8069000244140625,2
10,0.7111520767211914,0.8345999717712402,2
11,0.960557222366333,0.7871000170707703,2
12,0.44858965277671814,0.8973000049591064,2
13,0.49049243330955505,0.8863999843597412,2
14,0.46352216601371765,0.8899000287055969,2
15,0.4369756281375885,0.8967000246047974,2
16,0.4224645495414734,0.9013000130653381,2
17,0.4319177269935608,0.9000999927520752,2
18,0.44812890887260437,0.8974999785423279,2
19,0.574827253818512,0.8680999875068665,2
20,0.5035903453826904,0.8862000107765198,2
21,0.5086187124252319,0.8761000037193298,2
22,0.7102770805358887,0.8339999914169312,2
23,0.9254150390625,0.7815999984741211,2
24,0.8968424797058105,0.7785999774932861,2
25,1.532278299331665,0.7021999955177307,2
26,0.9928293824195862,0.7576000094413757,2
27,0.9910550713539124,0.7574999928474426,2
28,0.7819923162460327,0.8004000186920166,2
29,1.2515861988067627,0.7534999847412109,2
30,1.173414707183838,0.7506999969482422,2
31,1.1772263050079346,0.7390000224113464,2
32,1.180877685546875,0.7398999929428101,2
33,0.8434232473373413,0.7940999865531921,2
34,0.8868085145950317,0.7785000205039978,2
35,0.6521544456481934,0.8374999761581421,2
36,0.8938874006271362,0.7842000126838684,2
37,0.8069821000099182,0.8061000108718872,2
38,0.8159340023994446,0.8206999897956848,2
39,1.1488395929336548,0.7493000030517578,2
40,0.8704737424850464,0.8044999837875366,2
41,1.0182175636291504,0.7842000126838684,2
42,1.0301692485809326,0.7738000154495239,2
43,1.1578037738800049,0.7592999935150146,2
44,1.4727392196655273,0.7239000201225281,2
45,1.52299964427948,0.7146000266075134,2
46,2.2728376388549805,0.6445000171661377,2
47,3.784710168838501,0.5084999799728394,2
48,3.306673049926758,0.5753999948501587,2
49,4.287014007568359,0.5613999962806702,2
50,3.8121449947357178,0.5353000164031982,2
