round,loss,accuracy,num_clients
1,0.10209167748689651,0.968500018119812,2
2,0.08272756636142731,0.9779999852180481,2
3,0.08423818647861481,0.9789000153541565,2
4,0.08708181977272034,0.9789000153541565,2
5,0.1060243621468544,0.9757999777793884,2
6,0.1021568775177002,0.9790999889373779,2
7,0.09514211118221283,0.9797999858856201,2
8,0.10156716406345367,0.9783999919891357,2
9,0.10167841613292694,0.9789999723434448,2
10,0.10756019502878189,0.9787999987602234,2
11,0.10812358558177948,0.9789999723434448,2
12,0.11044225096702576,0.979200005531311,2
13,0.11696062982082367,0.9787999987602234,2
14,0.11438106745481491,0.9797999858856201,2
15,0.11751088500022888,0.979200005531311,2
