round,loss,accuracy,num_clients
1,0.13416323065757751,0.9606000185012817,5
2,0.09616561233997345,0.9729999899864197,5
3,0.08717668801546097,0.9763000011444092,5
4,0.08297263085842133,0.9775000214576721,5
5,0.08303315937519073,0.9779999852180481,5
6,0.08100418001413345,0.9789000153541565,5
7,0.08173369616270065,0.9793000221252441,5
8,0.08204390108585358,0.9801999926567078,5
9,0.08281829208135605,0.9801999926567078,5
10,0.08340182155370712,0.9800000190734863,5
11,0.08538749068975449,0.9800999760627747,5
12,0.08654280751943588,0.9800000190734863,5
13,0.0875278189778328,0.9799000024795532,5
14,0.08785080909729004,0.9803000092506409,5
15,0.09021878987550735,0.9800000190734863,5
16,0.08939380198717117,0.9805999994277954,5
17,0.09025251120328903,0.980400025844574,5
18,0.09254524856805801,0.9801999926567078,5
19,0.09240706264972687,0.9805999994277954,5
20,0.09389092773199081,0.9801999926567078,5
