round,loss,accuracy,num_clients
1,0.22031870484352112,0.9355999827384949,15
2,0.1622067540884018,0.9514999985694885,15
3,0.1349320262670517,0.9624999761581421,15
4,0.12209966778755188,0.9659000039100647,15
5,0.11433152109384537,0.9689000248908997,15
6,0.10952221602201462,0.97079998254776,15
7,0.10538813471794128,0.9721999764442444,15
8,0.10253217816352844,0.9732000231742859,15
9,0.10057759284973145,0.9735000133514404,15
10,0.09942162781953812,0.9749000072479248,15
11,0.09780609607696533,0.9754999876022339,15
12,0.09692555665969849,0.9757999777793884,15
13,0.09572122246026993,0.9763000011444092,15
14,0.09519068151712418,0.9765999913215637,15
15,0.09469140321016312,0.9768999814987183,15
16,0.09469238668680191,0.9764999747276306,15
17,0.09426213055849075,0.9765999913215637,15
18,0.09410025179386139,0.9765999913215637,15
19,0.09391598403453827,0.9771000146865845,15
20,0.09442677348852158,0.9771999716758728,15
