round,loss,accuracy,num_clients
1,50.93311309814453,0.0982000008225441,3
2,103.92455291748047,0.10320000350475311,3
3,40.873558044433594,0.11389999836683273,3
4,50.68916320800781,0.10320000350475311,3
5,43.71860122680664,0.10090000182390213,3
6,51.27900695800781,0.10320000350475311,3
7,73.1849365234375,0.10090000182390213,3
8,43.98430252075195,0.10100000351667404,3
9,46.12767028808594,0.10279999673366547,3
10,50.326576232910156,0.10090000182390213,3
11,68.06932830810547,0.10100000351667404,3
12,67.61795043945312,0.10100000351667404,3
13,84.0012435913086,0.10090000182390213,3
14,58.51219940185547,0.10090000182390213,3
15,53.469642639160156,0.09799999743700027,3
16,60.71461868286133,0.16439999639987946,3
17,84.78672790527344,0.10090000182390213,3
18,59.17123794555664,0.09809999912977219,3
19,57.410614013671875,0.1307000070810318,3
20,49.07905578613281,0.1014999970793724,3
