loss,accuracy,val_loss,val_accuracy
0.3020666539669037,0.9142166376113892,0.16893234848976135,0.9491000175476074
0.1368473917245865,0.9602833390235901,0.11712242662906647,0.9624000191688538
0.09681398421525955,0.9719666838645935,0.10486503690481186,0.9670000076293945
0.07295361161231995,0.9781500101089478,0.08563502877950668,0.9733999967575073
0.05845239385962486,0.9824166893959045,0.08079667389392853,0.9740999937057495
0.04710797965526581,0.9861500263214111,0.08492349088191986,0.974399983882904
0.0380781888961792,0.9885166883468628,0.07731563597917557,0.9760000109672546
0.03284747153520584,0.9901666641235352,0.07178109884262085,0.9772999882698059
0.025930222123861313,0.9924333095550537,0.08217097073793411,0.9758999943733215
0.022604579105973244,0.993149995803833,0.07544396817684174,0.9797000288963318
