loss,accuracy,val_loss,val_accuracy
5.256518840789795,0.7545666694641113,0.6075991988182068,0.8791999816894531
0.6548342704772949,0.8689166903495789,0.6828854084014893,0.859499990940094
0.6451844573020935,0.8775333166122437,0.530224621295929,0.9053000211715698
0.6363635063171387,0.8832166790962219,0.5942932367324829,0.8871999979019165
0.6257166862487793,0.8880833387374878,0.8004759550094604,0.8586999773979187
0.6243566274642944,0.8878999948501587,0.5966392755508423,0.8953999876976013
0.5934642553329468,0.892633318901062,1.097517967224121,0.8119000196456909
0.6282839775085449,0.8892166614532471,0.6291730403900146,0.8906999826431274
0.6262540221214294,0.8903666734695435,0.6534236073493958,0.8866999745368958
0.60057133436203,0.8947666883468628,0.9469751715660095,0.8434000015258789
