round,loss,accuracy,num_clients
1,0.7784425020217896,0.8431000113487244,25
2,0.5703127384185791,0.892799973487854,25
3,0.5221406817436218,0.9041000008583069,25
4,0.4909852147102356,0.9107000231742859,25
5,0.48554015159606934,0.9146999716758728,25
6,0.4793652892112732,0.9172000288963318,25
7,0.4591919481754303,0.9212999939918518,25
8,0.46151939034461975,0.9235000014305115,25
9,0.46146026253700256,0.9225999712944031,25
10,0.4539267122745514,0.9251999855041504,25
11,0.4521437883377075,0.9248999953269958,25
12,0.4474545419216156,0.9241999983787537,25
13,0.4471409320831299,0.9265999794006348,25
14,0.45556405186653137,0.9271000027656555,25
15,0.4533488154411316,0.9247000217437744,25
