round,loss,accuracy,num_clients
1,0.2558765709400177,0.9232000112533569,25
2,0.20360563695430756,0.940500020980835,25
3,0.17480923235416412,0.9492999911308289,25
4,0.15648654103279114,0.9553999900817871,25
5,0.14402270317077637,0.9588000178337097,25
6,0.1349586844444275,0.9616000056266785,25
7,0.1274663209915161,0.9642000198364258,25
8,0.12211839854717255,0.9668999910354614,25
9,0.1178893893957138,0.9677000045776367,25
10,0.11397022753953934,0.9696000218391418,25
11,0.11119720339775085,0.9704999923706055,25
12,0.10874415189027786,0.9715999960899353,25
13,0.1067722886800766,0.9722999930381775,25
14,0.10492989420890808,0.9732000231742859,25
15,0.10340374708175659,0.9735999703407288,25
