round,loss,accuracy,num_clients
1,0.21522444486618042,0.9361000061035156,15
2,0.15872438251972198,0.9534000158309937,15
3,0.13408154249191284,0.9607999920845032,15
4,0.12070847302675247,0.964900016784668,15
5,0.11241897195577621,0.9675999879837036,15
6,0.10562887042760849,0.9706000089645386,15
7,0.10104753077030182,0.9714000225067139,15
8,0.09789522737264633,0.9731000065803528,15
9,0.09506586939096451,0.9739000201225281,15
10,0.09400631487369537,0.9749000072479248,15
11,0.09294819086790085,0.9751999974250793,15
12,0.09163355082273483,0.9754999876022339,15
13,0.09043843299150467,0.9757999777793884,15
14,0.0894770473241806,0.9764000177383423,15
15,0.08891057968139648,0.9763000011444092,15
