round,loss,accuracy,num_clients
1,0.25447285175323486,0.9236999750137329,25
2,0.20280563831329346,0.9401999711990356,25
3,0.1742599457502365,0.9488999843597412,25
4,0.15558317303657532,0.9563999772071838,25
5,0.14319343864917755,0.9607999920845032,25
6,0.13444337248802185,0.963699996471405,25
7,0.128244549036026,0.965399980545044,25
8,0.12344685196876526,0.9666000008583069,25
9,0.11938191950321198,0.9682999849319458,25
10,0.11621805280447006,0.968999981880188,25
11,0.11333524435758591,0.970300018787384,25
12,0.11099462956190109,0.9708999991416931,25
13,0.10896901786327362,0.9711999893188477,25
14,0.10726448893547058,0.9717000126838684,25
15,0.1060786098241806,0.9722999930381775,25
16,0.10469156503677368,0.9726999998092651,25
17,0.10328972339630127,0.9733999967575073,25
18,0.1026446670293808,0.9742000102996826,25
19,0.10162417590618134,0.974399983882904,25
20,0.10114336013793945,0.9746000170707703,25
21,0.10035109519958496,0.9746999740600586,25
22,0.0999034121632576,0.9750000238418579,25
23,0.0991959199309349,0.9753000140190125,25
24,0.0988169014453888,0.9757000207901001,25
25,0.09851536899805069,0.9757000207901001,25
