round,loss,accuracy,num_clients
1,0.1370844542980194,0.9595000147819519,5
2,0.0964992493391037,0.9710000157356262,5
3,0.08691293001174927,0.9743000268936157,5
4,0.08343854546546936,0.9754999876022339,5
5,0.08194264024496078,0.9775000214576721,5
6,0.08075364679098129,0.9776999950408936,5
7,0.08113344758749008,0.9785000085830688,5
8,0.08210195600986481,0.9789000153541565,5
9,0.08261826634407043,0.9789000153541565,5
10,0.08383451402187347,0.9789999723434448,5
11,0.08480856567621231,0.9790999889373779,5
12,0.08513728529214859,0.978600025177002,5
13,0.08556166291236877,0.9787999987602234,5
14,0.08692574501037598,0.9785000085830688,5
15,0.08792438358068466,0.9786999821662903,5
16,0.08934542536735535,0.9790999889373779,5
17,0.08980162441730499,0.9789000153541565,5
18,0.09031803905963898,0.978600025177002,5
19,0.09209740906953812,0.9789999723434448,5
20,0.09312798827886581,0.9786999821662903,5
